year,pop
1950,2.53
1951,2.57
1952,2.62
1953,2.67
1954,2.71
1955,2.76
1956,2.81
1957,2.86
1958,2.92
1959,2.97
1960,3.03
1961,3.08
1962,3.14
1963,3.2
1964,3.26
1965,3.33
1966,3.4
1967,3.47
1968,3.54
1969,3.62
1970,3.69
1971,3.77
1972,3.84
1973,3.92
1974,4.0
1975,4.07
1976,4.15
1977,4.22
1978,4.3
1979,4.37
1980,4.45
1981,4.53
1982,4.61
1983,4.69
1984,4.78
1985,4.86
1986,4.95
1987,5.05
1988,5.14
1989,5.23
1990,5.32
1991,5.41
1992,5.49
1993,5.58
1994,5.66
1995,5.74
1996,5.82
1997,5.9
1998,5.98
1999,6.05
2000,6.13
2001,6.2
2002,6.28
2003,6.36
2004,6.44
2005,6.51
2006,6.59
2007,6.67
2008,6.75
2009,6.83
2010,6.92
2011,7.0
2012,7.08
2013,7.16
2014,7.24
2015,7.32
2016,7.4
2017,7.48
2018,7.56
2019,7.64
2020,7.72
2021,7.79
2022,7.87
2023,7.94
2024,8.01
2025,8.08
2026,8.15
2027,8.22
2028,8.29
2029,8.36
2030,8.42
2031,8.49
2032,8.56
2033,8.62
2034,8.68
2035,8.74
2036,8.8
2037,8.86
2038,8.92
2039,8.98
2040,9.04
2041,9.09
2042,9.15
2043,9.2
2044,9.26
2045,9.31
2046,9.36
2047,9.41
2048,9.46
2049,9.5
2050,9.55
2051,9.6
2052,9.64
2053,9.68
2054,9.73
2055,9.77
2056,9.81
2057,9.85
2058,9.88
2059,9.92
2060,9.96
2061,9.99
2062,10.03
2063,10.06
2064,10.09
2065,10.13
2066,10.16
2067,10.19
2068,10.22
2069,10.25
2070,10.28
2071,10.31
2072,10.33
2073,10.36
2074,10.38
2075,10.41
2076,10.43
2077,10.46
2078,10.48
2079,10.5
2080,10.52
2081,10.55
2082,10.57
2083,10.59
2084,10.61
2085,10.63
2086,10.65
2087,10.66
2088,10.68
2089,10.7
2090,10.72
2091,10.73
2092,10.75
2093,10.77
2094,10.78
2095,10.79
2096,10.81
2097,10.82
2098,10.83
2099,10.84
2100,10.85
